2026-06-19 10:53:52.937 +00:00 [WRN] Failed to determine the https port for redirect.
2026-06-19 10:53:56.358 +00:00 [INF] HTTP POST /api/auth/agent/login responded 200 in 3428.3320 ms
2026-06-19 10:54:53.319 +00:00 [INF] HTTP OPTIONS /api/auth/agent/login responded 204 in 19.6624 ms
2026-06-19 10:55:25.299 +00:00 [INF] HTTP POST /api/auth/agent/login responded 200 in 1057.7361 ms
2026-06-19 11:01:08.288 +00:00 [INF] HTTP POST /api/auth/agent/login responded 200 in 1845.0355 ms
2026-06-19 11:12:13.404 +00:00 [INF] HTTP GET / responded 307 in 9.8920 ms
2026-06-19 11:12:14.119 +00:00 [INF] HTTP GET / responded 404 in 261.1469 ms
2026-06-19 11:12:40.719 +00:00 [INF] HTTP GET /scalar responded 302 in 57.4040 ms
2026-06-19 11:12:41.383 +00:00 [INF] HTTP GET /scalar/ responded 200 in 607.9094 ms
2026-06-19 11:12:41.607 +00:00 [INF] HTTP GET /scalar/scalar.aspnetcore.js responded 200 in 69.6032 ms
2026-06-19 11:12:41.826 +00:00 [INF] HTTP GET /scalar/scalar.js responded 200 in 287.2929 ms
2026-06-19 11:12:42.946 +00:00 [INF] HTTP GET /openapi/v1.json responded 200 in 122.8965 ms
